Date,OPEN,HIGH,LOW,LAST_PRICE,VOLUME
22/06/17 09:15,1683.76,1684.76,1681.18,1682.82,19601
22/06/17 09:16,1682.62,1682.62,1680.04,1681.43,5476
22/06/17 09:17,1681.82,1682.72,1681.38,1682.72,2904
22/06/17 09:18,1682.57,1683.41,1682.32,1682.92,3346
22/06/17 09:19,1683.81,1683.81,1682.42,1683.27,5339
22/06/17 09:20,1683.31,1684.8,1682.32,1684.8,3677
22/06/17 09:21,1684.41,1686.79,1684.26,1686.54,7914
22/06/17 09:22,1686.54,1687.19,1684.61,1686.2,4601
22/06/17 09:23,1685.8,1686,1684.9,1685.4,2212
22/06/17 09:24,1685.8,1685.8,1685.1,1685.1,1561
22/06/17 09:25,1684.66,1685.8,1684.66,1685.5,2367
22/06/17 09:26,1685.2,1685.8,1684.8,1684.9,1572
22/06/17 09:27,1685.1,1685.8,1684.9,1685.8,1042
22/06/17 09:28,1685.8,1686.64,1685.5,1686.59,606
22/06/17 09:29,1686.74,1687.54,1686,1687.49,1032
22/06/17 09:30,1687.34,1689.67,1686.99,1689.67,5898
22/06/17 09:31,1689.57,1690.72,1688.78,1690.67,5960
22/06/17 09:32,1690.37,1691.71,1689.28,1690.67,8319
22/06/17 09:33,1691.26,1691.76,1690.77,1691.76,3921
22/06/17 09:34,1691.76,1691.76,1691.16,1691.61,1609
22/06/17 09:35,1691.61,1692.01,1690.42,1691.11,5082
22/06/17 09:36,1691.66,1691.76,1689.57,1689.57,2643
22/06/17 09:37,1689.62,1691.16,1689.28,1690.96,1530
22/06/17 09:38,1691.21,1691.56,1690.17,1691.56,1377
22/06/17 09:39,1691.46,1691.76,1690.86,1691.76,1731
22/06/17 09:40,1691.61,1691.61,1690.72,1691.06,1403
22/06/17 09:41,1690.77,1691.56,1690.32,1691.56,1841
22/06/17 09:42,1691.61,1691.66,1690.52,1690.77,952
22/06/17 09:43,1690.96,1690.96,1690.22,1690.96,2089
22/06/17 09:44,1690.77,1690.77,1690.02,1690.02,477
22/06/17 09:45,1690.02,1690.91,1689.77,1690.77,2673
22/06/17 09:46,1690.77,1691.56,1690.07,1690.77,4078
22/06/17 09:47,1690.77,1690.81,1690.07,1690.72,2997
22/06/17 09:48,1690.72,1691.21,1689.92,1690.67,1024
22/06/17 09:49,1690.67,1690.67,1689.77,1690.52,734
22/06/17 09:50,1690.37,1690.67,1689.87,1690.62,415
22/06/17 09:51,1690.57,1690.77,1689.87,1689.92,2684
22/06/17 09:52,1689.92,1689.92,1689.52,1689.52,1115
22/06/17 09:53,1689.77,1689.77,1689.72,1689.77,599
22/06/17 09:54,1689.77,1689.92,1689.28,1689.87,1213
22/06/17 09:55,1689.87,1689.87,1689.37,1689.37,412
22/06/17 09:56,1689.77,1690.77,1689.77,1690.67,4665
22/06/17 09:57,1690.77,1690.77,1690.52,1690.77,764
22/06/17 09:58,1690.77,1690.77,1690.52,1690.72,382
22/06/17 09:59,1690.77,1690.77,1690.02,1690.62,753
22/06/17 10:00,1690.57,1691.86,1690.57,1691.81,2416
22/06/17 10:01,1691.86,1693.6,1691.86,1693.6,2811
22/06/17 10:02,1692.65,1693.65,1692.65,1693,5603
22/06/17 10:03,1693,1693.55,1692.7,1693.55,4345
22/06/17 10:04,1693.1,1693.65,1692.7,1692.85,755
22/06/17 10:05,1693.55,1693.55,1692.75,1693.35,812
22/06/17 10:06,1693.35,1693.55,1692.65,1693.55,1623
22/06/17 10:07,1693.75,1693.75,1693.55,1693.7,2794
22/06/17 10:08,1693.7,1694.29,1693.55,1694.29,4602
22/06/17 10:09,1694.29,1696.73,1694.29,1696.73,12623
22/06/17 10:10,1696.97,1698.22,1696.38,1696.73,14327
22/06/17 10:11,1697.72,1697.72,1695.88,1696.33,7567
22/06/17 10:12,1696.63,1697.22,1694.49,1695.33,9159
22/06/17 10:13,1695.04,1695.14,1694.24,1694.59,4207
22/06/17 10:14,1694.64,1695.04,1693.84,1695.04,7353
22/06/17 10:15,1695.09,1695.43,1694.59,1695.19,1395
22/06/17 10:16,1695.24,1696.63,1695.04,1696.58,1935
22/06/17 10:17,1696.53,1697.27,1696.53,1697.27,2288
22/06/17 10:18,1697.22,1697.72,1697.22,1697.52,1558
22/06/17 10:19,1697.52,1697.72,1697.37,1697.62,1793
22/06/17 10:20,1697.62,1698.61,1697.62,1698.61,3322
22/06/17 10:21,1698.56,1698.71,1697.77,1698.71,7710
22/06/17 10:22,1698.71,1698.71,1697.72,1698.41,4328
22/06/17 10:23,1698.41,1698.71,1697.52,1698.27,6382
22/06/17 10:24,1697.72,1699.21,1697.67,1699.21,16240
22/06/17 10:25,1699.11,1700.2,1699.11,1699.95,8909
22/06/17 10:26,1699.95,1700.7,1699.71,1700.5,3220
22/06/17 10:27,1699.71,1700.45,1699.71,1700,1324
22/06/17 10:28,1700,1700.3,1699.16,1699.31,2976
22/06/17 10:29,1699.36,1700.1,1698.12,1698.46,2023
22/06/17 10:30,1698.22,1699.46,1698.02,1698.96,1306
22/06/17 10:31,1699.21,1699.26,1697.92,1698.66,3157
22/06/17 10:32,1698.22,1699.11,1696.92,1696.97,2124
22/06/17 10:33,1697.87,1698.02,1696.92,1696.97,1800
22/06/17 10:34,1696.97,1697.72,1696.78,1696.82,1809
22/06/17 10:35,1696.87,1697.57,1696.82,1696.92,1494
22/06/17 10:36,1696.92,1697.72,1696.73,1696.97,2174
22/06/17 10:37,1697.67,1697.72,1696.82,1697.72,959
22/06/17 10:38,1697.52,1698.32,1697.32,1698.32,691
22/06/17 10:39,1698.27,1698.71,1698.22,1698.66,758
22/06/17 10:40,1698.27,1698.71,1698.12,1698.66,2297
22/06/17 10:41,1698.71,1698.96,1698.51,1698.51,1849
22/06/17 10:42,1698.51,1699.01,1697.92,1699.01,1252
22/06/17 10:43,1698.76,1699.46,1698.76,1699.06,1391
22/06/17 10:44,1698.76,1699.61,1698.76,1699.56,1365
22/06/17 10:45,1699.41,1699.71,1699.06,1699.31,861
22/06/17 10:46,1699.46,1700.95,1699.31,1700.9,7109
